"id_st","id_rna","dist","neighbor_rank","cluster_rna"
"spot_059","cell_171",2.35714888572693,1,"type_3"
"spot_060","cell_096",2.55233931541443,3,"type_4"
"spot_062","cell_078",1.8663911819458,1,"type_2"
"spot_063","cell_031",2.06672382354736,2,"type_3"
"spot_064","cell_092",1.25321543216705,1,"type_4"
"spot_065","cell_113",2.11274218559265,3,"type_1"
"spot_066","cell_106",2.37162566184998,1,"type_2"
"spot_067","cell_127",2.07334971427917,5,"type_3"
"spot_068","cell_136",2.4367687702179,3,"type_4"
"spot_069","cell_057",2.48708963394165,2,"type_1"
"spot_070","cell_170",1.74669182300568,1,"type_2"
"spot_072","cell_176",1.68756246566772,1,"type_4"
"spot_073","cell_017",2.85925102233887,2,"type_1"
"spot_074","cell_014",1.96012675762177,1,"type_2"
"spot_075","cell_175",2.04423713684082,4,"type_3"
"spot_076","cell_064",1.51754987239838,1,"type_4"
"spot_077","cell_165",2.0255286693573,1,"type_1"
"spot_079","cell_179",2.25143074989319,2,"type_3"
"spot_081","cell_077",2.62819719314575,2,"type_1"
"spot_085","cell_005",1.97075593471527,1,"type_1"
"spot_086","cell_154",2.10639691352844,1,"type_2"
"spot_087","cell_055",2.20911407470703,1,"type_3"
"spot_088","cell_024",2.1372663974762,1,"type_4"
"spot_090","cell_158",1.81208050251007,1,"type_2"
"spot_093","cell_105",3.10380625724792,2,"type_1"
"spot_095","cell_083",1.89993059635162,1,"type_3"
"spot_096","cell_104",1.8242814540863,2,"type_4"
"spot_101","cell_065",2.8709237575531,4,"type_1"
"spot_102","cell_126",2.09286880493164,3,"type_2"
"spot_106","cell_086",2.49981117248535,1,"type_2"
"spot_107","cell_143",1.54725575447083,2,"type_3"
"spot_108","cell_028",2.36531257629395,1,"type_4"
"spot_110","cell_006",2.26660418510437,1,"type_2"
"spot_111","cell_063",2.73610186576843,5,"type_3"
"spot_114","cell_034",1.67562413215637,1,"type_2"
"spot_116","cell_164",2.64695620536804,1,"type_4"
"spot_119","cell_091",3.04930925369263,3,"type_3"
"spot_120","cell_132",1.85434007644653,5,"type_4"
"spot_121","cell_129",2.61643528938293,4,"type_1"
"spot_122","cell_130",2.18318676948547,1,"type_2"
"spot_124","cell_032",1.52243268489838,1,"type_4"
"spot_126","cell_054",2.33978486061096,1,"type_2"
"spot_129","cell_069",2.1723096370697,2,"type_1"
"spot_130","cell_118",2.18815922737122,2,"type_2"
"spot_132","cell_012",2.09445238113403,2,"type_4"
"spot_133","cell_121",2.27944993972778,3,"type_1"
"spot_134","cell_146",2.42311859130859,2,"type_2"
"spot_139","cell_047",2.36345291137695,2,"type_3"
"spot_141","cell_153",2.34860348701477,3,"type_1"
"spot_145","cell_157",2.18514108657837,2,"type_1"
"spot_146","cell_102",2.19170141220093,1,"type_2"
