"id_st","x","y","orig.ident","nCount_Spatial","nFeature_Spatial","region"
"spot_102",10,40,"spot",447,113,"region_2"
"spot_103",20,40,"spot",396,109,"region_3"
"spot_104",30,40,"spot",456,110,"region_4"
"spot_105",40,40,"spot",418,107,"region_1"
"spot_106",50,40,"spot",410,108,"region_2"
"spot_107",60,40,"spot",413,113,"region_3"
"spot_108",70,40,"spot",476,104,"region_4"
"spot_109",80,40,"spot",435,107,"region_1"
"spot_110",90,40,"spot",477,116,"region_2"
"spot_111",0,50,"spot",447,111,"region_3"
"spot_112",10,50,"spot",468,112,"region_4"
"spot_113",20,50,"spot",476,112,"region_1"
"spot_114",30,50,"spot",446,110,"region_2"
"spot_115",40,50,"spot",450,113,"region_3"
"spot_116",50,50,"spot",416,100,"region_4"
"spot_117",60,50,"spot",423,114,"region_1"
"spot_118",70,50,"spot",459,113,"region_2"
"spot_119",80,50,"spot",394,107,"region_3"
"spot_120",90,50,"spot",445,113,"region_4"
"spot_121",0,0,"spot",437,112,"region_1"
"spot_122",10,0,"spot",406,107,"region_2"
"spot_123",20,0,"spot",409,108,"region_3"
"spot_124",30,0,"spot",453,107,"region_4"
"spot_125",40,0,"spot",472,113,"region_1"
"spot_126",50,0,"spot",414,114,"region_2"
"spot_127",60,0,"spot",454,116,"region_3"
"spot_128",70,0,"spot",444,110,"region_4"
"spot_129",80,0,"spot",453,113,"region_1"
"spot_130",90,0,"spot",416,112,"region_2"
"spot_131",0,10,"spot",433,107,"region_3"
"spot_132",10,10,"spot",419,106,"region_4"
"spot_133",20,10,"spot",482,114,"region_1"
"spot_134",30,10,"spot",471,111,"region_2"
"spot_135",40,10,"spot",421,110,"region_3"
"spot_136",50,10,"spot",417,109,"region_4"
"spot_137",60,10,"spot",430,112,"region_1"
"spot_138",70,10,"spot",416,113,"region_2"
"spot_139",80,10,"spot",389,108,"region_3"
"spot_140",90,10,"spot",462,111,"region_4"
"spot_141",0,20,"spot",445,113,"region_1"
"spot_142",10,20,"spot",453,113,"region_2"
"spot_143",20,20,"spot",416,112,"region_3"
"spot_144",30,20,"spot",476,109,"region_4"
"spot_145",40,20,"spot",456,109,"region_1"
"spot_146",50,20,"spot",386,106,"region_2"
"spot_147",60,20,"spot",399,110,"region_3"
"spot_148",70,20,"spot",472,114,"region_4"
"spot_149",80,20,"spot",411,111,"region_1"
"spot_150",90,20,"spot",451,109,"region_2"
