id_rna,celltype,batch
cell_123,type_3,pseudo_batch
cell_124,type_4,pseudo_batch
cell_125,type_1,pseudo_batch
cell_126,type_2,pseudo_batch
cell_127,type_3,pseudo_batch
cell_128,type_4,pseudo_batch
cell_129,type_1,pseudo_batch
cell_130,type_2,pseudo_batch
cell_131,type_3,pseudo_batch
cell_132,type_4,pseudo_batch
cell_133,type_1,pseudo_batch
cell_134,type_2,pseudo_batch
cell_135,type_3,pseudo_batch
cell_136,type_4,pseudo_batch
cell_137,type_1,pseudo_batch
cell_138,type_2,pseudo_batch
cell_139,type_3,pseudo_batch
cell_140,type_4,pseudo_batch
cell_141,type_1,pseudo_batch
cell_142,type_2,pseudo_batch
cell_143,type_3,pseudo_batch
cell_144,type_4,pseudo_batch
cell_145,type_1,pseudo_batch
cell_146,type_2,pseudo_batch
cell_147,type_3,pseudo_batch
cell_148,type_4,pseudo_batch
cell_149,type_1,pseudo_batch
cell_150,type_2,pseudo_batch
cell_151,type_3,pseudo_batch
cell_152,type_4,pseudo_batch
cell_153,type_1,pseudo_batch
cell_154,type_2,pseudo_batch
cell_155,type_3,pseudo_batch
cell_156,type_4,pseudo_batch
cell_157,type_1,pseudo_batch
cell_158,type_2,pseudo_batch
cell_159,type_3,pseudo_batch
cell_160,type_4,pseudo_batch
cell_161,type_1,pseudo_batch
cell_162,type_2,pseudo_batch
cell_163,type_3,pseudo_batch
cell_164,type_4,pseudo_batch
cell_165,type_1,pseudo_batch
cell_166,type_2,pseudo_batch
cell_167,type_3,pseudo_batch
cell_168,type_4,pseudo_batch
cell_169,type_1,pseudo_batch
cell_170,type_2,pseudo_batch
cell_171,type_3,pseudo_batch
cell_172,type_4,pseudo_batch
cell_173,type_1,pseudo_batch
cell_174,type_2,pseudo_batch
cell_175,type_3,pseudo_batch
cell_176,type_4,pseudo_batch
cell_177,type_1,pseudo_batch
cell_178,type_2,pseudo_batch
cell_179,type_3,pseudo_batch
cell_180,type_4,pseudo_batch
