"id_st","orig.ident","nCount_Spatial","nFeature_Spatial","x","y","region"
"spot_054","spot",440,112,30,50,"region_2"
"spot_055","spot",416,107,40,50,"region_3"
"spot_056","spot",454,106,50,50,"region_4"
"spot_057","spot",509,116,60,50,"region_1"
"spot_058","spot",403,110,70,50,"region_2"
"spot_059","spot",443,110,80,50,"region_3"
"spot_060","spot",451,109,90,50,"region_4"
"spot_061","spot",435,113,0,0,"region_1"
"spot_062","spot",429,110,10,0,"region_2"
"spot_063","spot",398,110,20,0,"region_3"
"spot_064","spot",449,110,30,0,"region_4"
"spot_065","spot",414,111,40,0,"region_1"
"spot_066","spot",437,112,50,0,"region_2"
"spot_067","spot",414,106,60,0,"region_3"
"spot_068","spot",444,107,70,0,"region_4"
"spot_069","spot",412,110,80,0,"region_1"
"spot_070","spot",403,108,90,0,"region_2"
"spot_071","spot",423,108,0,10,"region_3"
"spot_072","spot",447,110,10,10,"region_4"
"spot_073","spot",482,112,20,10,"region_1"
"spot_074","spot",453,113,30,10,"region_2"
"spot_075","spot",443,110,40,10,"region_3"
"spot_076","spot",432,108,50,10,"region_4"
"spot_077","spot",426,108,60,10,"region_1"
"spot_078","spot",397,110,70,10,"region_2"
"spot_079","spot",454,108,80,10,"region_3"
"spot_080","spot",435,111,90,10,"region_4"
"spot_081","spot",468,111,0,20,"region_1"
"spot_082","spot",436,108,10,20,"region_2"
"spot_083","spot",439,107,20,20,"region_3"
"spot_084","spot",448,111,30,20,"region_4"
"spot_085","spot",457,109,40,20,"region_1"
"spot_086","spot",399,109,50,20,"region_2"
"spot_087","spot",439,105,60,20,"region_3"
"spot_088","spot",419,109,70,20,"region_4"
"spot_089","spot",455,112,80,20,"region_1"
"spot_090","spot",467,106,90,20,"region_2"
"spot_091","spot",442,113,0,30,"region_3"
"spot_092","spot",449,109,10,30,"region_4"
"spot_093","spot",445,108,20,30,"region_1"
"spot_094","spot",450,107,30,30,"region_2"
"spot_095","spot",442,105,40,30,"region_3"
"spot_096","spot",439,110,50,30,"region_4"
"spot_097","spot",441,111,60,30,"region_1"
"spot_098","spot",429,108,70,30,"region_2"
"spot_099","spot",440,111,80,30,"region_3"
"spot_100","spot",453,109,90,30,"region_4"
"spot_101","spot",457,110,0,40,"region_1"
"spot_102","spot",447,113,10,40,"region_2"
"spot_103","spot",396,109,20,40,"region_3"
"spot_104","spot",456,110,30,40,"region_4"
"spot_105","spot",418,107,40,40,"region_1"
"spot_106","spot",410,108,50,40,"region_2"
"spot_107","spot",413,113,60,40,"region_3"
"spot_108","spot",476,104,70,40,"region_4"
"spot_109","spot",435,107,80,40,"region_1"
"spot_110","spot",477,116,90,40,"region_2"
"spot_111","spot",447,111,0,50,"region_3"
"spot_112","spot",468,112,10,50,"region_4"
"spot_113","spot",476,112,20,50,"region_1"
"spot_114","spot",446,110,30,50,"region_2"
"spot_115","spot",450,113,40,50,"region_3"
"spot_116","spot",416,100,50,50,"region_4"
"spot_117","spot",423,114,60,50,"region_1"
"spot_118","spot",459,113,70,50,"region_2"
"spot_119","spot",394,107,80,50,"region_3"
"spot_120","spot",445,113,90,50,"region_4"
"spot_121","spot",437,112,0,0,"region_1"
"spot_122","spot",406,107,10,0,"region_2"
"spot_123","spot",409,108,20,0,"region_3"
"spot_124","spot",453,107,30,0,"region_4"
"spot_125","spot",472,113,40,0,"region_1"
"spot_126","spot",414,114,50,0,"region_2"
"spot_127","spot",454,116,60,0,"region_3"
"spot_128","spot",444,110,70,0,"region_4"
"spot_129","spot",453,113,80,0,"region_1"
"spot_130","spot",416,112,90,0,"region_2"
"spot_131","spot",433,107,0,10,"region_3"
"spot_132","spot",419,106,10,10,"region_4"
"spot_133","spot",482,114,20,10,"region_1"
"spot_134","spot",471,111,30,10,"region_2"
"spot_135","spot",421,110,40,10,"region_3"
"spot_136","spot",417,109,50,10,"region_4"
"spot_137","spot",430,112,60,10,"region_1"
"spot_138","spot",416,113,70,10,"region_2"
"spot_139","spot",389,108,80,10,"region_3"
"spot_140","spot",462,111,90,10,"region_4"
"spot_141","spot",445,113,0,20,"region_1"
"spot_142","spot",453,113,10,20,"region_2"
"spot_143","spot",416,112,20,20,"region_3"
"spot_144","spot",476,109,30,20,"region_4"
"spot_145","spot",456,109,40,20,"region_1"
"spot_146","spot",386,106,50,20,"region_2"
"spot_147","spot",399,110,60,20,"region_3"
"spot_148","spot",472,114,70,20,"region_4"
"spot_149","spot",411,111,80,20,"region_1"
"spot_150","spot",451,109,90,20,"region_2"
